cause,ageGroup,rate,deaths,population,causeICD113,rank
stroke,55-64 years,29.6,12116,40877819,#Cerebrovascular diseases (I60-I69),5
stroke,65-74 years,75.5,20793,27550517,#Cerebrovascular diseases (I60-I69),5
stroke,75-84 years,273,38012,13923174,#Cerebrovascular diseases (I60-I69),5
stroke,85+ years,975.8,61351,6287161,#Cerebrovascular diseases (I60-I69),5
alzheimer's,35-44 years,Unreliable,11,40589783,#Alzheimer's disease (G30),6
alzheimer's,45-54 years,0.2,87,43188161,#Alzheimer's disease (G30),6
alzheimer's,55-64 years,2.4,968,40877819,#Alzheimer's disease (G30),6
alzheimer's,65-74 years,22.4,6167,27550517,#Alzheimer's disease (G30),6
alzheimer's,75-84 years,211.9,29503,13923174,#Alzheimer's disease (G30),6
alzheimer's,85+ years,1174.2,73825,6287161,#Alzheimer's disease (G30),6
diabetes,< 1 year,Unreliable,3,3978038,#Diabetes mellitus (E10-E14),7
diabetes,1-4 years,Unreliable,5,15929243,#Diabetes mellitus (E10-E14),7
diabetes,5-14 years,0.1,23,41109506,#Diabetes mellitus (E10-E14),7
diabetes,15-24 years,0.4,196,43848216,#Diabetes mellitus (E10-E14),7
diabetes,25-34 years,1.8,798,44137202,#Diabetes mellitus (E10-E14),7
diabetes,35-44 years,4.9,1986,40589783,#Diabetes mellitus (E10-E14),7
diabetes,45-54 years,14.4,6212,43188161,#Diabetes mellitus (E10-E14),7
diabetes,55-64 years,34.7,14166,40877819,#Diabetes mellitus (E10-E14),7
diabetes,65-74 years,70.6,19453,27550517,#Diabetes mellitus (E10-E14),7
diabetes,75-84 years,143,19904,13923174,#Diabetes mellitus (E10-E14),7
diabetes,85+ years,267,16785,6287161,#Diabetes mellitus (E10-E14),7
influenza pneumonia,< 1 year,4.4,174,3978038,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,1-4 years,0.6,88,15929243,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,5-14 years,0.2,83,41109506,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,15-24 years,0.4,184,43848216,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,25-34 years,0.9,397,44137202,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,35-44 years,1.7,708,40589783,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,45-54 years,4.7,2050,43188161,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,55-64 years,11.3,4601,40877819,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,65-74 years,29.5,8131,27550517,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,75-84 years,101.6,14149,13923174,#Influenza and pneumonia (J09-J18),8
influenza pneumonia,85+ years,421.4,26494,6287161,#Influenza and pneumonia (J09-J18),8
renal disease,< 1 year,2.1,85,3978038,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,1-4 years,Unreliable,16,15929243,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,5-14 years,Unreliable,17,41109506,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,15-24 years,0.1,57,43848216,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,25-34 years,0.6,262,44137202,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,35-44 years,1.7,686,40589783,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,45-54 years,4.9,2124,43188161,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,55-64 years,13.3,5452,40877819,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,65-74 years,35.1,9662,27550517,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,75-84 years,99.7,13881,13923174,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
renal disease,85+ years,281.8,17715,6287161,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",9
suicide,5-14 years,1,413,41109506,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,15-24 years,12.5,5491,43848216,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,25-34 years,15.7,6947,44137202,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,35-44 years,17.1,6936,40589783,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,45-54 years,20.3,8751,43188161,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,55-64 years,18.9,7739,40877819,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,65-74 years,15.2,4201,27550517,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,75-84 years,17.9,2489,13923174,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
suicide,85+ years,19.4,1222,6287161,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",10
