County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,suicideRate
"Denver County, CO",8031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,97,682545,14.2
"Douglas County, CO",8035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,51,322387,15.8
"El Paso County, CO",8041,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,172,674471,25.5
"Fremont County, CO",8043,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,46692, 
"Jefferson County, CO",8059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,116,565524,20.5
"Larimer County, CO",8069,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,75,333577,22.5
"Mesa County, CO",8077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,37,148513,24.9
"Montezuma County, CO",8083,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,26168, 
"Pueblo County, CO",8101,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,47,163591,28.7
"Teller County, CO",8119,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,23385, 
"Weld County, CO",8123,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,58,285174,20.3
"Fairfield County, CT",9001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,73,948053,7.7
"Hartford County, CT",9003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,97,895841,10.8
"Litchfield County, CT",9005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,183603,10.9
"Middlesex County, CT",9007,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,164063, 
"New Haven County, CT",9009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,108,859470,12.6
"New London County, CT",9011,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,43,271863,15.8
"Tolland County, CT",9013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,151420, 
"Windham County, CT",9015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,116573, 
"Kent County, DE",10001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,173533,12.1
"New Castle County, DE",10003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,73,556779,13.1
"Sussex County, DE",10005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,28,215622,13
"District of Columbia, DC",11001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,672228,5.1
"Alachua County, FL",12001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,259964,12.7
"Bay County, FL",12005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,38,181635,20.9
"Brevard County, FL",12009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,140,568088,24.6
"Broward County, FL",12011,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,222,1896425,11.7
"Charlotte County, FL",12015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,39,173115,22.5
"Citrus County, FL",12017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,141058,21.3
"Clay County, FL",12019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,203967,14.7
"Collier County, FL",12021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,46,357305,12.9
"Columbia County, FL",12023,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,68348, 
"Duval County, FL",12031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,164,913010,18
"Escambia County, FL",12033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,55,311003,17.7
"Flagler County, FL",12035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,105392,24.7
"Hernando County, FL",12053,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,39,178439,21.9
"Highlands County, FL",12055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,99491, 
"Hillsborough County, FL",12057,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,199,1349050,14.8
"Indian River County, FL",12061,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,147919, 
"Jackson County, FL",12063,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,48599, 
"Lake County, FL",12069,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,52,325875,16
"Lee County, FL",12071,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,122,701982,17.4
"Leon County, FL",12073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,286272,11.9
"Levy County, FL",12075,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,39832, 
"Manatee County, FL",12081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,64,363369,17.6
"Marion County, FL",12083,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,78,343254,22.7
"Martin County, FL",12085,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,22,156283,14.1
"Miami-Dade County, FL",12086,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,284,2693117,10.5
"Monroe County, FL",12087,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,77482,25.8
"Nassau County, FL",12089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,78444, 
"Okaloosa County, FL",12091,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,37,198664,18.6
"Orange County, FL",12095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,135,1288126,10.5
"Osceola County, FL",12097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,323993,9
"Palm Beach County, FL",12099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,227,1422789,16
"Pasco County, FL",12101,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,104,497909,20.9
"Pinellas County, FL",12103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,200,949827,21.1
"Polk County, FL",12105,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,101,650092,15.5
"Putnam County, FL",12107,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,72023, 
"St. Johns County, FL",12109,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,43,226640,19
"St. Lucie County, FL",12111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,54,298563,18.1
"Santa Rosa County, FL",12113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,167040,18
"Sarasota County, FL",12115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,100,405549,24.7
"Seminole County, FL",12117,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,56,449144,12.5
"Sumter County, FL",12119,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,118891, 
"Suwannee County, FL",12121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,43760, 
"Volusia County, FL",12127,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,125,517887,24.1
"Walton County, FL",12131,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,63508, 
"Baldwin County, GA",13009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,45459, 
"Barrow County, GA",13013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,75370, 
"Bartow County, GA",13015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,102747, 
"Bibb County, GA",13021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,153721, 
"Bryan County, GA",13029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,35137, 
"Carroll County, GA",13045,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,114545, 
"Catoosa County, GA",13047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,66050, 
"Chatham County, GA",13051,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,46,286956,16
"Cherokee County, GA",13057,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,235900,14.4
"Clarke County, GA",13059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,123912, 
"Clayton County, GA",13063,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,273955,7.7
"Cobb County, GA",13067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,90,741334,12.1
"Columbia County, GA",13073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,144052,13.9
"Coweta County, GA",13077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,138427,14.4
"Dawson County, GA",13085,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,23312, 
"DeKalb County, GA",13089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,60,734871,8.2
"Douglas County, GA",13097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,140733, 
"Fayette County, GA",13113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,110714, 
"Floyd County, GA",13115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,96504, 
"Forsyth County, GA",13117,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,25,212438,11.8
"Fulton County, GA",13121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,89,1010562,8.8
"Glynn County, GA",13127,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,83579, 
"Gwinnett County, GA",13135,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,109,895823,12.2
"Hall County, GA",13139,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,22,193535,11.4
"Henry County, GA",13151,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,217739, 
"Houston County, GA",13153,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,150033, 
"Jackson County, GA",13157,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,63360, 
"Liberty County, GA",13179,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,62467, 
"Lowndes County, GA",13185,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,112865, 
"Muscogee County, GA",13215,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,200579,12
"Newton County, GA",13217,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,105473, 
"Paulding County, GA",13223,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,152238, 
"Richmond County, GA",13245,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,201793,16.8
"Rockdale County, GA",13247,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,88856, 
"Troup County, GA",13285,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,14,69763, 
"Walker County, GA",13295,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,68066, 
"Walton County, GA",13297,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,88399, 
"Whitfield County, GA",13313,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,104216, 
"Hawaii County, HI",15001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,35,196428,17.8
"Honolulu County, HI",15003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,122,998714,12.2
"Kauai County, HI",15007,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,16,71735, 
"Maui County, HI",15009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,28,164637,17
"Ada County, ID",16001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,79,434211,18.2
"Bannock County, ID",16005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,28,83744,33.4
"Bingham County, ID",16011,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,13,44990, 
"Bonneville County, ID",16019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,110089,30
"Canyon County, ID",16027,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,41,207478,19.8
"Kootenai County, ID",16055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,42,150346,27.9
"Twin Falls County, ID",16083,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,82375,24.3
"Adams County, IL",17001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,67013, 
"Champaign County, IL",17019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,21,208861,10.1
"Cook County, IL",17031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,434,5238216,8.3
"DuPage County, IL",17043,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,90,933736,9.6
"Henry County, IL",17073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,10,49489, 
"Kane County, IL",17089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,44,530847,8.3
"Knox County, IL",17095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,51441, 
"Lake County, IL",17097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,66,703910,9.4
"LaSalle County, IL",17099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,111333,18
